"","countyfips","netMig2001"
"1",1,1
"2",3,3
"3",5,2
"4",7,3
"5",9,3
"6",11,3
"7",13,1
"8",14,3
"9",15,3
"10",17,3
"11",19,3
"12",21,3
"13",23,3
"14",25,3
"15",27,3
"16",29,3
"17",31,2
"18",33,3
"19",35,4
"20",37,3
"21",39,3
"22",41,2
"23",43,3
"24",45,3
"25",47,3
"26",49,3
"27",51,3
"28",53,3
"29",55,3
"30",57,3
"31",59,2
"32",61,3
"33",63,3
"34",65,3
"35",67,3
"36",69,1
"37",71,3
"38",73,3
"39",75,3
"40",77,4
"41",79,3
"42",81,3
"43",83,3
"44",85,3
"45",87,3
"46",89,3
"47",91,3
"48",93,3
"49",95,3
"50",97,3
"51",99,3
"52",101,4
"53",103,3
"54",105,3
"55",107,3
"56",109,3
"57",111,3
"58",113,3
"59",115,3
"60",117,3
"61",119,3
"62",119,3
"63",121,3
"64",123,4
"65",125,3
