"RegionNumber","RegionName"
0,"State of Colorado"
1,"Planning Region 1"
2,"Planning Region 2"
3,"Planning Region 3"
4,"Planning Region 4"
5,"Planning Region 5"
6,"Planning Region 6"
7,"Planning Region 7"
8,"Planning Region 8"
9,"Planning Region 9"
10,"Planning Region 10"
11,"Planning Region 11"
12,"Planning Region 12"
13,"Planning Region 13"
14,"Planning Region 14"
101,"Denver-Boulder Metro Area"
102,"Front Range"
103,"Western Slope"
104,"Eastern Plains"
105,"San Luis Valley"
106,"Eastern Mountains"
107,"Denver PMSA"
108,"Denver-Boulder-Greeley CMSA"
